優先級,名稱,類型,必要輸入,可選輸入,輸出,效果,吟唱時間,傷害,特殊傷害or效果
2,偏折,提供Direction,無,Direction(滑鼠方向),Direction,180度反方向的Direction,0.2,,
2,減速增幅後修飾,後修飾,Spell,無,Spell,施法後給予玩家3秒大幅減速Debuff，換取法術傷害與範圍2倍。,,,
2,環繞,前修飾,Energe,Form,Spell,法術座標綁定於玩家並持續旋轉。,,,
2,引爆,後修飾,Spell,Energy,Spell,法術命中或消失時額外爆炸，有能量的話半徑+1,,-,直接放大子彈一瞬間，造成原本的傷害(但如果對於被命中者來說要結算兩次)
,,,,,,,,,
2,堅守,被動,無,無,"Energy, Energy, Energy",玩家每保持完全靜止(不移動)三秒，亮起一個接口儲存能量。,,,
2,放血,被動,無,無,HP,提供HP,,,
2,地面,前修飾,Energy,"Form, Position(腳下位置)","Energy, Form",取消飛行，將法術生成於玩家腳下，且原地不動(變成陷阱)。,,,
2,散華,效果,Energy,Target(半徑4格內的最近四隻生物),Spell,追蹤導彈，命中有緩速的怪物則會定身,,10,追蹤導彈，命中有緩速的怪物則會定身
3,凍凝,後修飾,Spell,無,Spell,飛行速度變慢，命中敵人時冰凍(定身),,,
3,一閃,效果,Energy,Direction(滑鼠方向),"Spell, Target(被撞到的人)",衝刺，對路徑上的敵人造成傷害,,,
3,四射,後修飾,Spell,Direction(隨機方向),Spell,命中時朝隨機方向發射小閃電(投射物),,,
3,鮮血增幅後修飾,後修飾,Spell,HP,Spell,生成法術瞬間扣除玩家生命，將法術傷害與大小增幅3倍。,,,
3,咒眼,效果,Energy,Target(半徑三格內最近的怪物),"Spell, Direction(Target轉成的)",給Target一個詛咒 (受傷加深20%) ,,,
4,天罰,前修飾,Energy,"Form, Position(滑鼠位置)","Energy, Form",,,,
4,魂引,效果,"Energy, HP",Target(離滑鼠最近的三隻怪物),Spell,召喚追蹤靈體，追蹤攻擊!,,,
4,吞噬,後修飾,Spell,,Energy,吃掉Spell這個list裡面的第一個，並且輸出一點能量,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
0,烈焰彈,效果,Energy,"Direction(滑鼠方向), Form",Spell,丟火球,,,
1,引爆,後修飾,Spell,Energy,Spell,法術命中或消失時額外爆炸，有能量的話半徑+1,,,
1,獻祭,效果,"Energy, HP",direction(滑鼠方向),Spell,丟小火球,,,
,,,,,,,,,
,,,,,,,,,
0,冰霰,效果,Energy,"Direction(滑鼠方向), Form",Spell,命中敵人時緩速,,,
2,凍凝,後修飾,Spell,無,Spell,飛行速度變慢，命中敵人時冰凍(定身),,,
1,散華,效果,Energy,Target(半徑4格內的最近四隻生物),Spell,追蹤導彈，命中有緩速的怪物則會定身,,,
,,,,,,,,,
2,一閃,效果,Energy,Direction(滑鼠方向),"Spell, Target(被撞到的人)",衝刺，對路徑上的敵人造成傷害,,,
4,連光,效果,Target,Energy,無,對Target造成傷害，有Energy的話再造成一次。,,,
2,四射,後修飾,Spell,Direction(隨機方向),Spell,命中時朝隨機方向發射小閃電(投射物),,,
,,,,,,,,,
3,咒眼,效果,Energy,Target(半徑三格內最近的怪物),"Spell, Direction(Target轉成的)",給Target一個詛咒 (受傷加深20%) ,,,
4,吞噬,後修飾,Spell,,Energy,吃掉Spell這個list裡面的第一個，並且輸出一點能量,,,
3,魂引,效果,"Energy, HP",Target(離滑鼠最近的三隻怪物),Spell,召喚追蹤靈體，追蹤攻擊!,,,
,,,,,,,,,
1,霰彈,提供Direction,無,Direction(滑鼠方向),Direction,增加左右兩邊15度角的Direction,,,
1,偏折,提供Direction,無,Direction(滑鼠方向),Direction,180度反方向的Direction,,,
,,,,,,,,,
3,天罰,前修飾,Energy,"Form, Position(滑鼠位置)","Energy, Form",,,,
1,追蹤,前修飾,Energy,"Form, Target(最近的怪物)","Energy, Form",,,,
1,迴力,前修飾,Energy,Form,"Energy, Form",迴力鏢型態,,,
,,,,,,,,,
1,巨化,前修飾,Energy,Form,"Energy, Form",,,,
,,,,,,,,,
1,多段連射,後修飾,Spell,無,Spell,多放幾個這樣的Spell,,,
,,,,,,,,,
1,放血,被動,無,無,HP,提供HP,,,
1,動能,被動,無,無,"Energy, Energy, Energy",跟幻夜一樣，移動固定距離儲存能量,,,
1,打禪,被動,無,無,"Energy, Energy, Energy",跟幻夜一樣，靜止移動3秒儲存能量,,,
,,,,,,,,,
0,火球,效果,Energy,"Direction(滑鼠方向), Form",Spell,直線飛行，碰撞怪或牆壁時原地引爆，造成範圍傷害。,,,
0,毒球,效果,"Energy, Energy","Direction(滑鼠方向), Form",Spell,直線穿透飛行，給予碰到的怪物持續扣血(中毒)狀態。,,,
0,治療,效果,Energy(需5點),無,Spell,無彈道，直接消耗能量回復玩家固定生命值。,,,
0,加速,效果,"Energy, Energy",Direction(滑鼠方向),Spell,瞬間將玩家移動速度提升300%，持續0.2秒。,,,
0,隱形,效果,Energy(需3點),無,Spell,短暫降低自身透明度，並使怪物AI丟失鎖定目標。,,,
,,,,,,,,,
1,地面前修飾,前修飾,Energy,"Form, Position(腳下位置)","Energy, Form",取消飛行，將法術生成於玩家腳下，且原地不動(變成陷阱)。,,,
1,散彈後修飾,後修飾,Spell,無,Spell,攔截法術生成，將其分裂為3個，呈扇形(各偏15度)發射。,,,
1,環繞後修飾,後修飾,Spell,無,Spell,覆寫運動軌跡，將法術座標綁定於玩家並持續旋轉。,,,
2,鮮血增幅後修飾,後修飾,Spell,HP,Spell,生成法術瞬間扣除玩家生命，將法術傷害與大小增幅3倍。,,,
2,減速增幅後修飾,後修飾,Spell,無,Spell,施法後給予玩家3秒大幅減速Debuff，換取法術傷害與範圍2倍。,,,
1,鮮血償還,被動,無,無,"Energy, Energy, Energy",每累積損失固定數值的血量，亮起一個接口儲存能量。,,,
1,冥想,被動,無,無,"Energy, Energy",玩家每停止施法三秒(不按鍵)，亮起一個接口儲存能量。,,,
1,堅守,被動,無,無,"Energy, Energy, Energy",玩家每保持完全靜止(不移動)三秒，亮起一個接口儲存能量。,,,
1,動能轉化,被動,無,無,"Energy, Energy, Energy",玩家每移動固定距離，亮起一個接口儲存能量。,,,
